,index,0
122,106860, PL Контейнер д/биопроб универс. мл полим. с крыш. в инд. уп. 
123,46797, Троксевазин гель % туба г N 
124,356666, Аторвастатин таб.п.п.о.мг № 
125,92189, Мята перечная н-ка фл мл N 
126,60207, Мочеприемник детский мл стер. N 
127,88379, 
128,47059, Стрептоцид пор г пак N 
129,97124, 
130,141536," Преднизол р-р в/в, в/м мг/мл амп. мл № "
131,136804, 
132,57328, Мукалтин тб мг N 
133,125017, ТераФлю от гриппа и простуды Экстра пор.д/приг.р-ра д/приема внутрь Лимон № 
134,49527," Вигантол р-р масл ,мг/мл фл-капел мл N "
135,116428, Немулекс гран.д/сусп.д/приема внутрь мг г № пак. 
136,97879, Фталазол тб мг N 
137,69792, Новинет табл. п.п.о. № 
138,78827, Регулон табл. п.п.о. № 
139,95340, Шприц одноразовый SF Medical -комп.мл №/СТМ 
140,61918, Кармолис леденцы без сахара г уп № 
141,81547, Кеторолак таб. п.о. мг № -
142,80093, Фурацилин тб мг N 
143,125415, Нью Лайф Салфетка марл мед стер двухслойн см х см №/СТМ 
144,38945, Офломелид мазь наружн.туба г 
145,162872, PL Перчатки нитриловые нестерильные неопудренные р.S  пар цветные 
146,104261, Нормофлорин-D фл мл 
147,154062, PL Вода питьевая негазированная мл 
148,162869, PL Перчатки латексные нестерильные неопудренные р.L  пар 
149,97275, Шприцы одноразовые с иглой мл уп N 
150,69142, PL Пипетка глазная травмобезопасная стеклянная № 
151,155974, 
152,34278, Тетрациклиновая мазь глазн ЕД/г туба г N 
153,76190, Дексаметазон р-р д/ин.  мг/мл. амп.  мл. № 
154,132095," Коэнзим композитум ,мл амп № "
155,39810, Тантум Роза р-р вагинальный .% фл.-спринц.мл с канюлей № 
156,145164, Карипазим  пе фл № 
157,34507," Цель Т р-р д/и амп ,мл № "
158,79724, Левомеколь мазь г N 
159,84757, Лоперамид таб.мг № 
160,139647, Ямми Карамель леденцовая с витамином С Малина-Ежевика г 
161,40259, Галазолин капли .% мл N 
162,118826, Ямми Карамель леденцовая с витамином С Дюшес г 
163,125232, Норваск таб.мг № 
164,142343," Цефтриаксон пор.д/р-ра в/в, в/м фл./пачка г № "
165,120312, Нутридринк смесь д/энтер.питания Клубника мл 
166,146135, Ромашка [цветки фильтр-пакеты .г] N КЛС 
167,74585, Валидол таб.подъяз.мг № 
168,88371, Беталок ЗОК таб.п.о.замедл.высв.мг № блистер 
169,66842, Кэа Хэлс Ромашка [цветки фильтр-пакеты г] N 
170,60270, Монурал гран.д/приг.р-ра.д/приема внутрь г саше № 
171,25209, Панкреатин табл. п.о.кш.раств. № 
172,85662, Феварин таб. п.о.мг № 
173,168318, Самсон&Далила Гематоген Русский г с кедровым орехом 
174,41184, Ацетилсалициловая кислота таб.мг № 
175,155551, Бисопролол-Тева таб. мг № 
176,74728, Аевит капс N 
177,121499, Ингавирин капс.мг № 
178,192023, Самсон&Далила Гематоген Русский г детский 
179,92609, Йода р-р спирт % фл мл N с крышкой-помазком Renewal 
180,137698, Аскорутин таб.№ 
181,165142, Витатека Пластырь перцовый перфорированный хсм № 
182,77297," Клексан р-р д/инъекций мг ,мл шпр. № "
183,59916, Римантадин таб.мг № 
184,109580, Пустырник настойка фл.мл 
185,133224," Мукоза Композитум р-р для в/м и п/к введ.гомеоп.,мл амп.№ -"
186,51228, PL Аскорбинка с сахаром таб. № 
187,155970, Фамвиталь капс.№ 
188,141398, Валериана [настойка фл мл] N 
189,112212, Триган-Д таб.№ 
190,139733, Натрия хлорид .% р-р д/инфуз фл мл N 
191,349911, PL Бинт марл мед н/стер ГОСТ м х см уп № 
192,147953," Система трансфуз д/переливания крови, кровезам, инфуз р-ров уп N "
193,65610, Липоевая кислота тб п/о  мг. № 
194,51883, Календулы настойка жидк фл мл N 
195,168319, Пакет см х см 
196,47273, Глиатилин капс мг N 
197,53775, Гордокс р-р д/ин.  КИЕ/ мл. амп.  мл. № 
198,143405," Цефтриаксон пор д/приг. р-ра д/в/в, в/м введ г фл N "
199,102316, Флуконазол капс  мг. № 
200,101838, Салициловая мазь % г N 
201,134076, Бификол сухой пор дз N 
202,100369, Мукалтин тб мг N 
203,112405, Эмла крем д/местного и наружн.прим.% туба г № 
204,102005, PL Сироп шиповника фл.мл 
205,167295, Тримедат форте таб.пролонг.п.п.о.мг № 
206,154842, Повязка Branolind стерильная мазевая см х см № 
207,39550, Напальчник медицинский № 
208,112558, Бициллин- пор д/и ЕД фл N 
209,100882," PL Пластырь бактерицидный влагостойкий воздухопроницаемый ,х,см № "
210,70403, Шприц Бектон Дикинсон одноразовый с иглой -комп.мл уп N 
211,109932, PL Вода питьевая негазированная спортивная мл 
212,73524, Мексидол р-р д/в/в и в/м введ. мг/мл амп. мл № 
213,57602, Нафтизин плюс капли назальные .% мл N 
214,28771, Сульфокамфокаин р-р д/и % амп мл N 
